Depth (cm),Age (kyr BP),Density (g/cc),Fractional porosity,Density (g/cc).1,Dry bulk density,sedimentation rate,MAR(mg/cm²/yr)
206,7.9355,1.7882,0.5579,1.7882,0.79056322,44.72,35.3539872
207,7.957,1.8232,0.5376,1.8232,0.84304768,44.72,37.70109225
208,7.979,1.8498,0.5221,1.8498,0.88401942,44.72,39.53334846
209,8.0025,1.8671,0.5121,1.8671,0.91095809,44.72,40.73804578
210,8.0275,1.8468,0.5239,1.8468,0.87926148,44.72,39.32057339
211,8.0525,1.8137,0.5431,1.8137,0.82867953,44.72,37.05854858
212,8.0775,1.8075,0.5467,1.8075,0.81933975,44.72,36.64087362
213,8.1025,1.8339,0.5314,1.8339,0.85936554,44.72,38.43082695
214,8.133,1.8405,0.5276,1.8405,0.8694522,44.72,38.88190238
215,8.1675,1.8525,0.5206,1.8525,0.8880885,44.72,39.71531772
216,8.2015,1.8396,0.5281,1.8396,0.86810724,44.72,38.82175577
217,8.2355,1.8387,0.5286,1.8387,0.86676318,44.72,38.76164941
218,8.27,1.8532,0.5202,1.8532,0.88916536,44.72,39.7634749
219,8.306,1.8339,0.5314,1.8339,0.85936554,44.72,38.43082695
220,8.3445,1.828,0.5348,1.828,0.8503856,44.72,38.02924403
221,8.3825,1.8266,0.5356,1.8266,0.84827304,44.72,37.93477035
222,8.421,1.8274,0.5351,1.8274,0.84955826,44.72,37.99224539
223,8.459,1.8378,0.5291,1.8378,0.86542002,44.72,38.70158329
224,8.51,1.8344,0.5311,1.8344,0.86015016,44.72,38.46591516
225,8.5705,1.8104,0.545,1.8104,0.823732,44.72,36.83729504
226,8.631,1.8161,0.5417,1.8161,0.83231863,44.72,37.22128913
227,8.6915,1.823,0.5377,1.823,0.8427729,44.72,37.68880409
228,8.752,1.8028,0.5494,1.8028,0.81234168,44.72,36.32791993
229,8.8025,1.7919,0.5558,1.7919,0.79596198,44.72,35.59541975
230,8.843,1.7987,0.5518,1.7987,0.80617734,44.72,36.05225064
231,8.8835,1.7852,0.5596,1.7852,0.78620208,44.72,35.15895702
232,8.9245,1.7594,0.5746,1.7594,0.74844876,44.72,33.47062855
233,8.965,1.7533,0.5781,1.7533,0.73971727,44.72,33.08015631
234,9.025,1.7718,0.5674,1.7718,0.76648068,33.02,25.30919205
235,9.104,1.8286,0.5345,1.8286,0.8512133,33.02,28.10706317
236,9.184,1.82,0.5394,1.82,0.838292,33.02,27.68040184
237,9.2635,1.8088,0.5459,1.8088,0.82137608,33.02,27.12183816
238,9.343,1.7727,0.5669,1.7727,0.76775637,33.02,25.35131534
239,9.4225,1.747,0.5818,1.747,0.7305954,33.02,24.12426011
240,9.502,1.7544,0.5775,1.7544,0.741234,33.02,24.47554668
241,9.5815,1.7454,0.5827,1.7454,0.72835542,33.02,24.05029597
242,9.661,1.774,0.5661,1.774,0.7697386,33.02,25.41676857
243,9.7215,1.7666,0.5704,1.7666,0.75893136,33.02,25.05991351
244,9.77,1.7956,0.5536,1.7956,0.80155584,33.02,26.46737384
245,9.8185,1.7521,0.5789,1.7521,0.73780931,33.02,24.36246342
246,9.867,1.7446,0.5832,1.7446,0.72714928,33.02,24.01046923
247,9.9155,1.7699,0.5685,1.7699,0.76371185,33.02,25.21776529
248,9.9645,1.7501,0.58,1.7501,0.735042,33.02,24.27108684
249,10.0125,1.7972,0.5527,1.7972,0.80388756,33.02,26.54436723
250,10.0615,1.7994,0.5514,1.7994,0.80721084,33.02,26.65410194
251,10.1095,1.7987,0.5518,1.7987,0.80617734,33.02,26.61997577
252,10.144,1.7968,0.5529,1.7968,0.80334928,33.02,26.52659323
253,10.174,1.7824,0.5613,1.7824,0.78193888,33.02,25.81962182
254,10.2035,1.7804,0.5624,1.7804,0.77910304,33.02,25.72598238
255,10.2325,1.7533,0.5781,1.7533,0.73971727,33.02,24.42546426
256,10.2625,1.766,0.5708,1.766,0.7579672,33.02,25.02807694
257,10.292,1.7434,0.5839,1.7434,0.72542874,33.02,23.95365699
258,10.322,1.784,0.5603,1.784,0.7844248,33.02,25.9017069
259,10.351,1.759,0.5748,1.759,0.7479268,33.02,24.69654294
260,10.3805,1.7844,0.5601,1.7844,0.78495756,33.02,25.91929863
261,10.406,1.8171,0.5411,1.8171,0.83386719,33.02,27.53429461
262,10.4305,1.81,0.5453,1.81,0.823007,33.02,27.17569114
263,10.4545,1.82,0.5394,1.82,0.838292,33.02,27.68040184
264,10.4795,1.8282,0.5347,1.8282,0.85066146,33.02,28.08884141
265,10.504,1.7962,0.5533,1.7962,0.80236254,33.02,26.49401107
266,10.5285,1.8001,0.551,1.8001,0.8082449,33.02,26.6882466
267,10.553,1.7634,0.5723,1.7634,0.75420618,33.02,24.90388806
268,10.5775,1.7943,0.5543,1.7943,0.79971951,33.02,26.40673822
269,10.602,1.7233,0.5956,1.7233,0.69690252,33.02,23.01172121
270,10.619,1.7554,0.5769,1.7554,0.74270974,33.02,24.52427561
271,10.637,1.7753,0.5653,1.7753,0.77172291,33.02,25.48229049
272,10.654,1.8029,0.5494,1.8029,0.81238674,33.02,26.82501015
273,10.6715,1.8072,0.5469,1.8072,0.81884232,33.02,27.03817341
274,10.6885,1.796,0.5534,1.796,0.8020936,33.02,26.48513067
275,10.7065,1.7693,0.5689,1.7693,0.76274523,33.02,25.18584749
276,10.7235,1.75,0.5801,1.75,0.734825,33.02,24.2639215
277,10.7405,1.708,0.6044,1.708,0.6756848,33.02,22.3111121
278,10.758,1.6731,0.6246,1.6731,0.62808174,33.02,20.73925905
279,10.7765,1.7511,0.5794,1.7511,0.73651266,33.02,24.31964803
280,10.7945,1.7883,0.5578,1.7883,0.79078626,33.02,26.11176231
281,10.8125,1.8003,0.5509,1.8003,0.80851473,33.02,26.69715638
282,10.831,1.7841,0.5603,1.7841,0.78446877,33.02,25.90315879
283,10.8485,1.7834,0.5607,1.7834,0.78344762,33.02,25.86944041
284,10.867,1.7784,0.5636,1.7784,0.77609376,33.02,25.62661596
285,10.8855,1.7822,0.5613,1.7822,0.78185114,33.02,25.81672464
286,10.903,1.6908,0.6144,1.6908,0.65197248,33.02,21.52813129
287,10.9205,1.6926,0.6133,1.6926,0.65452842,33.02,21.61252843
288,10.9355,1.7229,0.5958,1.7229,0.69639618,33.02,22.99500186
289,10.9505,1.7287,0.5924,1.7287,0.70461812,33.02,23.26649032
290,10.9655,1.7621,0.573,1.7621,0.7524167,33.02,24.84479943
291,10.98,1.7893,0.5572,1.7893,0.79230204,33.02,26.16181336
292,10.995,1.8077,0.5466,1.8077,0.81961118,33.02,27.06356116
293,11.01,1.7797,0.5628,1.7797,0.77808484,33.02,25.69236142
294,11.025,1.762,0.5731,1.762,0.7521978,33.02,24.83757136
295,11.04,1.7271,0.5933,1.7271,0.70241157,33.02,23.19363004
296,11.054,1.7113,0.6025,1.7113,0.68024175,33.02,22.46158259
297,11.067,1.7061,0.6055,1.7061,0.67305645,33.02,22.22432398
298,11.08,1.7413,0.5851,1.7413,0.72246537,33.02,23.85580652
