Depth1,Age1,TC [%],TOC [%],TIC%,TN [%],δ13C Corg [‰ PDB],δ15N Corg [‰ PDB],Terr [%],CaCO3%,,Depth2,Age2,Ill cryst [d2Theta],Ill [%],Chl [%],Kln [%],,Depth3,Age3,Al,Si,S,Cl,K,Ca,Ti,Mn,Fe,Ni,Zn,Br,Zr,Sr,sorting,skewness,kurtosis,mean(um),Median(um),Clay,Silt,10-63um,TC%2,TN%2,TOC%2,TIC%2,TON%2,CaCO3(%)2,TOC/TN2,TS%,S/C
244.5,9.7715,0.77,0.51,0.26,0.07,-21.53,5.25,54.61,2.17,,542.5,13.777,0.1,41.63,29.71,8.33,,154.5,7.19,7276.5,66646,683.5,17036,46088.5,63265.5,14983.5,5297.5,151574.5,215.5,212,294.5,3124,2568.5,1.03,-0.04,0.85,5.82,5.67,32.5,67.5,21.43116395,1.28,0.08,0.43,0.85,0.07,7.08,5.91,0.04,0.03
254.5,10.1765,1.37,0.57,0.8,0.1,-21.86,5.17,66.38,6.67,,569.5,14.1055,0.13,39.63,27.32,12.17,,161,7.34,6106,58063,657,18594,41780,61685,14328,4521,152229,170,198,198,3649,1814,0.98,-0.11,0.9,4.64,4.45,43.8,56.2,12.3607846,1.01,0.09,0.41,0.6,0.07,5.02,5.4,0.04,0.04
264.5,10.4785,1.49,0.51,0.98,0.07,-21.85,5.13,66.1,8.17,,601.5,14.4285,0.13,42.96,25.96,15.15,,167.8,7.5,4348,42524,443,13176,33429,47221,11212,4177,124695,184,159,248,2934,2069,1.03,-0.06,0.85,6.06,5.87,30.8,69.2,23.27101524,0.91,0.09,0.36,0.56,0.07,4.64,4.83,0.03,0.03
273.5,10.698,1.45,0.47,0.98,0.07,-21.8,4.98,64.44,8.17,,660.5,14.8355,0.1,45.68,28.2,7.9,,180.2,7.77,5265,52257,832,22260,40364,72381,13117,4352,160856,149,166,238,3814,2032,0.99,-0.02,0.85,6.2,6.1,28.5,71.5,23.26796008,1.4,0.1,0.41,0.98,0.08,8.18,4.93,0.03,0.02
280.5,10.799,1.58,0.49,1.09,0.06,-21.96,5.17,69.92,9.08,,790.5,15.7205,0.12,39.68,28.64,8.1,,190.7,8.03,6783,61273,836,16780,44190,73737,14278,4409,152961,194,202,187,3856,2002,0.98,-0.08,0.89,5.5,5.31,34.5,65.5,17.8992101,1.35,0.09,0.67,0.68,0.1,5.67,8.24,0.04,0.03
290.5,10.9635,1.8,0.5,1.3,0.07,-21.71,5.48,61.08,10.83,,833.5,16.082,0.17,43.27,26.96,12.72,,207.5,8.4,4234,45528,942,18224,29178,145851,10846,5341,110080,220,151,308,980,3543,1.05,-0.02,0.83,6.17,6.07,30.1,69.9,24.6327572,1.97,0.07,0.47,1.5,0.06,12.46,7.37,0.07,0.04
298.5,11.0725,1.72,0.49,1.23,0.07,-21.63,5.15,58.34,10.25,,853.5,16.328,0.13,39.23,29.53,9.88,,216.3,8.61,6553,60166,770,16410,42786,88484,14351,6486,145269,179,190,364,2208,3090,1.03,-0.05,0.85,5.57,5.43,34.7,65.3,19.8852446,1.64,0.09,0.48,1.17,0.07,9.73,6.03,0.08,0.05
303.5,11.1445,1.79,0.56,1.23,0.08,-22.2,4.94,78.74,10.25,,898.5,16.8235,0.15,40.05,25.7,10.26,,219.2,8.67,6658,61755,657,17070,44137,56424,14629,6503,157530,230,206,330,2159,2479,1.05,-0.07,0.85,5.06,4.89,40.1,59.9,17.1133656,1.17,0.09,0.53,0.65,0.07,5.4,6.76,0.05,0.04
310.5,11.2315,1.75,0.47,1.28,0.06,-21.94,4.93,69.32,10.67,,1000.5,17.4765,0.13,44.25,26.62,9.55,,221.8,8.74,7137,63857,576,15640,46060,69926,14970,6864,150427,209,243,282,1385,2524,1.06,-0.07,0.84,5.56,5.34,35.8,64.2,20.6843781,1.36,0.09,0.54,0.82,0.08,6.86,6.95,0.04,0.03
320.5,11.338,1.73,0.48,1.25,0.07,-21.59,5.29,56.8,10.42,,1048.5,17.7435,0.13,37.6,27.98,12.5,,229.3,8.91,4739,49015,609,17206,36925,21149,12925,6287,166543,215,202,403,1606,1614,1.29,-0.01,0.86,10.26,10.05,16.1,83.9,47.12278761,0.58,0.09,0.46,0.12,0.07,0.97,5.94,0.1,0.17
330.5,11.4825,1.76,0.47,1.29,0.07,-21.7,5.16,60.84,10.75,,1113.5,18.0485,0.12,41.62,23.71,6.38,,259.1,9.77,6260,59311,703,16227,42466,94263,14501,4387,146654,211,211,296,3138,3255,1.07,-0.07,0.85,5.42,5.2,37.2,62.8,19.9495737,1.79,0.09,0.5,1.29,0.06,10.75,6.31,0.1,0.06
337.5,11.593,1.75,0.46,1.29,0.07,-21.86,5.38,66.35,10.75,,1116.5,18.0565,0.13,39.6,28.28,12.22,,284,10.53,5645,54018,784,20862,40749,76987,13128,3968,168420,160,145,298,3667,1923,1.04,-0.02,0.84,6.84,6.75,25.2,74.8,28.73233701,1.27,0.1,0.55,0.72,0.06,5.98,6.76,0.11,0.08
344.5,11.734,1.62,0.5,1.12,0.07,-22.09,5.26,74.53,9.33,,1140.5,18.1605,0.08,41.4,32.23,9.46,,294.5,10.85,6115,56835,490,15290,42909,93672,13082,6357,143353,228,195,315,3399,2910,1,-0.13,0.91,4.82,4.57,42.5,57.5,14.08730322,1.82,0.1,0.52,1.3,0.09,10.83,6.04,0.06,0.03
350.5,11.8865,1.75,0.58,1.17,0.07,-21.75,4.94,62.62,9.75,,1180.5,18.3205,0.1,46.28,30.64,6.57,,307.2,11.23,6334,60094,462,16969,41598,102133,13859,7834,146441,161,195,245,3816,2384,0.94,-0.1,0.89,4.14,3.97,50.4,49.6,8.411958,1.89,0.1,0.55,1.34,0.06,11.16,6.53,0.06,0.03
358.5,12.119,1.45,0.47,0.98,0.06,-21.85,5.49,66.06,8.17,,1220.5,18.504,0.15,42.96,28.27,9.5,,340.7,12.24,5719,58334,626,18416,38127,121769,13576,8253,137322,213,192,301,1083,3516,1.01,-0.11,0.88,4.48,4.27,46.5,53.5,12.22147828,1.89,0.07,0.44,1.46,0.05,12.13,7.09,0.05,0.02
366.5,12.5825,1.78,0.47,1.31,0.07,-21.82,5.44,64.95,10.92,,1260.5,18.7315,0.12,36.92,27.9,10.74,,363,12.92,3662,38702,753,21175,30848,36245,10812,10741,173474,235,158,291,2999,1814,0.93,-0.08,0.89,3.93,3.8,52.9,47.1,6.5840785,1.83,0.09,0.42,1.41,0.05,11.75,5.45,0.03,0.02
375.5,13.2835,1.58,0.59,0.99,0.08,-21.57,3.19,55.94,8.25,,1300.5,18.995,0.12,41.86,25.42,10.32,,385.2,13.33,5742,55721,474,17319,40691,79029,12362,13132,136745,224,191,336,1993,2866,1.01,-0.11,0.9,4.75,4.53,43.3,56.7,14.0063576,1.59,0.09,0.54,1.05,0.05,8.74,7.41,0.05,0.03
380.5,13.2955,1.58,0.6,0.98,0.07,-21.46,1.83,52.25,8.17,,1397.5,19.586,0.08,39.85,30.75,6.87,,405.5,13.39,5893,57990,610,18122,39824,89315,13331,21511,143718,210,190,266,3828,2112,0.95,-0.1,0.88,4.2,4.03,49.6,50.4,8.9376056,1.78,0.09,0.58,1.19,0.09,9.94,7.88,0.05,0.03
390.5,13.3365,1.67,0.57,1.1,0.07,-21.34,5.23,47.78,9.17,,1406.5,19.6315,0.1,43.03,29.73,7.98,,435,13.47,5700,55661,522,18419,39532,90049,13377,18436,148511,180,184,408,975,2793,0.97,-0.11,0.92,4.13,3.96,50.6,49.4,9.2685031,1.82,0.09,0.71,1.11,0.1,9.25,9.16,0.05,0.03
400.5,13.375,1.72,0.51,1.21,0.07,-21.26,4.96,44.97,10.08,,1524.5,20.291,0.13,42.91,29.61,8.96,,457,13.53,5510,49433,390,18336,35877,82217,12367,16780,133320,232,206,384,3121,2812,1.07,-0.07,0.84,5.53,5.3,36.3,63.7,20.6390995,1.81,0.09,0.64,1.17,0.09,9.76,8.72,0.04,0.02
410.5,13.4095,1.78,0.53,1.25,0.06,-21.34,5.34,47.83,10.42,,1564.5,20.5995,0.12,46.94,23.23,11.71,,496.7,13.65,6093,56438,616,22293,39882,95645,13498,21538,148129,231,189,428,2700,3093,0.98,-0.08,0.86,4.43,4.28,46.4,53.6,11.02340724,1.82,0.08,0.53,1.28,0.08,10.68,7.42,0.05,0.03
420.5,13.44,1.81,0.58,1.23,0.07,-21.45,0.39,51.62,10.25,,1604.5,20.913,0.1,43.12,30.04,7.06,,525.5,13.72,4095,45736,645,23862,27863,123473,10444,13246,107309,205,164,350,966,3702,0.99,-0.08,0.91,4.44,4.3,46.1,53.9,11.1873976,1.83,0.08,0.51,1.32,0.08,11.02,7.53,0.07,0.04
430.5,13.4655,1.8,0.56,1.24,0.06,-21.35,1.43,48.36,10.33,,1644.5,21.1695,0.08,39.87,29.98,5.13,,531,13.74,5606,54854,681,22754,38636,100938,13538,17369,139708,199,202,384,3555,3369,1.01,-0.11,0.9,4.79,4.58,42.7,57.3,14.3055374,1.72,0.09,0.55,1.17,0.08,9.79,7.05,0.06,0.03
440.5,13.4915,1.79,0.57,1.22,0.06,-21.5,0.68,53.56,10.17,,1684.5,21.3955,0.1,45.79,31.4,6.31,,534.2,13.75,5579,54813,795,24514,40007,86662,13600,17775,154749,174,240,445,1309,3019,1.09,0.04,0.83,7.6,7.72,22,78,35.08711636,1.64,0.09,0.51,1.13,0.08,9.43,6.44,0.28,0.17
448.5,13.51,1.82,0.56,1.26,0.06,-21.42,4.98,50.87,10.5,,1704.5,21.506,0.15,43,30.13,8.5,,555.4,13.84,5493,53445,532,18828,38005,71259,12798,8985,135479,235,169,428,1094,2496,1.07,-0.1,0.86,5.3,5.04,38.4,61.6,18.9873069,1.62,0.09,0.64,0.98,0.09,8.16,8.15,0.05,0.03
453.5,13.525,1.81,0.56,1.25,0.07,-21.54,5.36,54.94,10.42,,1725.5,21.622,0.1,41.8,26.9,8.76,,561,13.89,5121,49435,933,20435,37284,65640,12706,20037,149329,214,186,390,2863,2505,0.96,-0.09,0.89,4.3,4.14,48.1,51.9,9.73207795,1.46,0.09,0.58,0.88,0.09,7.3,7.26,0.13,0.09
460.5,13.54,1.92,0.55,1.37,0.07,-21.29,5.21,46.21,11.42,,1802.5,22.1035,0.15,39.59,29.98,10.51,,575,14.01,3433,36061,853,23598,27922,167857,9476,9426,108495,225,191,426,506,5190,0.95,-0.09,0.87,4.35,4.2,47.3,52.7,9.8115872,1.64,0.09,0.57,1.07,0.08,8.89,7.16,0.07,0.04
470.5,13.563,1.52,0.55,0.97,0.05,-21.31,5.47,46.72,8.08,,1852.5,22.4705,0.17,41.44,31.51,8.96,,582.2,14.08,3942,40573,472,19417,31558,43919,10721,8109,136724,213,146,459,671,2128,1.04,-0.09,0.87,4.74,4.53,43.7,56.3,14.9004175,1.34,0.09,0.6,0.74,0.09,6.17,7.59,0.36,0.27
480.5,13.5905,2.05,0.6,1.45,0.07,-21.31,1.99,46.66,12.08,,1862.5,22.507,0.08,45.82,30.8,6.75,,596.3,14.2,4960,51215,1585,25609,37876,53918,13082,16628,167619,233,188,417,3615,2602,1.08,-0.09,0.85,5.31,5.06,38.5,61.5,19.3865241,1.22,0.09,0.59,0.63,0.09,5.23,7.51,0.36,0.3
490.5,13.6185,1.69,0.51,1.18,0.06,-21.33,2.28,47.68,9.83,,1922.5,22.743,0.13,43.86,27.06,11.71,,605,14.28,2969,33248,519,23925,29569,34593,10585,25292,142765,191,154,380,2897,2137,1.08,-0.05,0.84,5.66,5.49,35,65,21.612853,1.3,0.1,0.59,0.71,0.09,5.92,7.18,0.23,0.18
500.5,13.645,1.86,0.54,1.32,0.07,-21.25,1.69,44.6,11,,1932.5,22.7825,0.18,42.11,28.51,15.12,,617.8,14.39,5872,59137,650,26541,43991,73205,15063,17925,163701,209,245,446,2546,2681,1.08,-0.08,0.85,4.99,4.8,41.2,58.8,17.2442594,1.51,0.09,0.57,0.93,0.08,7.78,7.81,0.06,0.04
510.5,13.675,1.81,0.59,1.22,0.06,-21.3,2.07,46.61,10.17,,2000.5,23.441,0.12,46.35,26.68,9.17,,625,14.45,4354,45924,888,26489,35900,32849,12688,45139,171332,237,158,487,2423,1949,1.07,0.04,0.81,7.14,7.22,24.3,75.7,32.25320066,1.32,0.09,0.67,0.65,0.09,5.39,8.41,0.12,0.09
520.5,13.703,1.69,0.5,1.19,0.07,-21.35,2.14,48.23,9.92,,2079.5,24.348,0.15,43.45,27.45,11.4,,644,14.62,4294,47430,1060,29298,37056,35665,12565,26178,200948,250,187,485,1399,1954,1.08,-0.06,0.85,5.4,5.2,37.4,62.6,20.0232288,1.3,0.09,0.74,0.56,0.09,4.69,9.07,0.26,0.2
528.5,13.729,1.38,0.59,0.79,0.05,-21.29,1.93,46.22,6.58,,2117.5,24.554,0.13,43.1,27.02,14.27,,673.7,14.88,5417,55345,1226,24169,41645,57356,13905,24163,173358,239,191,489,2926,2205,0.98,-0.08,0.88,4.7,4.55,43,57,12.5907741,1.58,0.1,0.6,0.98,0.08,8.15,7.25,0.13,0.08
535.5,13.7545,2.35,0.6,1.75,0.09,-21.39,1.76,49.77,14.58,,2157.5,24.8225,0.12,43.05,28.81,7.96,,695.3,15.07,6201,60323,589,22623,42729,81784,14914,15413,155427,191,201,427,2676,2914,1.05,-0.03,0.85,5.77,5.67,33.1,66.9,21.70872801,1.77,0.1,0.74,1.03,0.09,8.62,8.25,0.08,0.04
542.5,13.777,1.4,0.74,0.66,0.06,-21.22,1.79,43.41,5.5,,2167.5,24.922,0.17,43.41,27.97,15.71,,698.6,15.1,4447,48130,636,28413,39115,74415,13572,13097,148098,243,190,470,2975,2655,1.06,-0.05,0.83,5.87,5.69,33,67,22.8732677,1.72,0.1,0.77,0.94,0.09,7.85,8.91,0.08,0.05
550.5,13.802,1.66,0.59,1.07,0.08,-21.27,1.82,45.44,8.92,,2198.5,25.23,0.18,39.08,29.26,12.51,,722,15.3,6074,62188,781,24135,42592,77809,15012,11459,157187,244,210,430,3055,3184,1.11,-0.03,0.81,5.99,5.85,33.1,66.9,25.21001337,1.59,0.1,0.74,0.85,0.08,7.06,9.04,0.09,0.06
556.5,13.86,1.44,0.64,0.8,0.06,-21.26,1.76,45.09,6.67,,2238.5,25.6275,0.1,39.19,25.71,18.08,,726.5,15.34,4933,51083,811,27241,39148,56166,13763,20577,164049,221,198,542,2796,2192,1.04,-0.03,0.85,6.22,6.1,29.4,70.6,24.56821563,1.61,0.1,0.68,0.93,0.09,7.75,7.82,0.08,0.05
564.5,14.025,1.72,0.59,1.13,0.07,-21.34,0.89,48.01,9.42,,2276.5,26.005,0.1,41.2,26.56,13.9,,746.5,15.52,2794,31670,647,22377,27222,26472,9320,37241,142325,206,125,304,2802,1224,0.99,0,0.85,6.6,6.57,25.3,74.7,25.9465579,1.02,0.1,0.54,0.48,0.08,4,6.12,0.2,0.19
569.5,14.1055,1.23,0.6,0.63,0.07,-21.21,2.6,43.12,5.25,,2286.5,26.1045,0.1,45.4,29.12,6.05,,756,15.6,5600,59047,600,20718,41067,68093,13910,13389,144188,193,226,286,3778,1825,1.17,0,0.86,8.05,8.1,21.4,78.6,38.13648407,1.57,0.1,0.57,1,0.08,8.33,6.52,0.06,0.04
577.5,14.2085,1.5,0.53,0.97,0.06,-21.39,1.99,49.76,8.08,,,,,,,,,762.5,15.66,3652,40653,423,15946,31078,49044,10295,8283,111513,185,144,249,2682,1549,1.2,-0.02,0.78,7.2,7.03,27.5,72.5,34.4100191,1.53,0.12,0.63,0.9,0.09,7.49,6.15,0.1,0.06
585.5,14.291,1.51,0.61,0.9,0.07,-21.23,2.57,43.84,7.5,,,,,,,,,795.7,15.94,5211,51701,388,14792,35941,56973,12186,14597,128253,220,177,434,715,2093,1.09,-0.12,0.82,5.08,4.74,41.8,58.2,18.9180528,1.65,0.12,0.63,1.02,0.09,8.51,6.01,0.07,0.04
592.5,14.3475,1.59,0.55,1.04,0.07,-21.22,1.81,43.63,8.67,,,,,,,,,827.8,16.23,5689,56274,513,16358,37388,54740,13172,11396,129363,215,194,493,924,2321,1.28,0.02,0.85,8.8,8.95,21,79,43.0707868,1.57,0.12,0.54,1.04,0.08,8.66,5.2,0.33,0.21
601.5,14.4285,1.65,0.61,1.04,0.08,-21.15,2.79,41.24,8.67,,,,,,,,,831.4,16.26,4442,48320,2443,16349,34176,46649,11559,6758,150684,216,130,343,3191,1754,1.09,-0.13,0.84,5.51,5.11,37.7,62.3,21.0225656,1.15,0.12,0.6,0.55,0.09,4.55,5.92,0.13,0.11
610.5,14.4815,1.47,0.63,0.84,0.07,-21.17,2.46,41.94,7,,,,,,,,,852.2,16.44,2948,46817,1392,24215,22574,54566,8209,7905,94809,263,182,609,2369,2199,1.37,0.3,1.08,39.01,46.58,2.12,63.78,59.10605,1.69,0.12,0.59,1.1,0.08,9.17,5.8,0.29,0.17
619.5,14.5475,1.41,0.62,0.79,0.07,-21.13,3.05,40.21,6.58,,,,,,,,,856.5,16.48,1021,36264,3121,34742,10188,34452,4035,2365,61882,206,66,489,1761,1568,0.94,0.25,1.11,42.56,46.39,0.11,71.79,73.746623,1.15,0.13,0.56,0.59,0.08,4.9,5.1,0.3,0.26
