Depth1,Age1,TC [%],TOC [%],TIC%,TN [%],δ13C Corg [‰ PDB],δ15N Corg [‰ PDB],Terr [%],CaCO3%,,Depth2,Age2,Ill cryst [d2Theta],Ill [%],Chl [%],Kln [%],,Depth3,Age3,Al,Si,S,Cl,K,Ca,Ti,Mn,Fe,Ni,Zn,Br,Zr,Sr,sorting,skewness,kurtosis,mean(um),Median(um),Clay,Silt,10-63um,TC%2,TN%2,TOC%2,TIC%2,TON%2,CaCO3(%)2,TOC/TN2,TS%,S/C
1961.5,22.8895,1.68,0.51,1.17,0.09,-20.31,5.15,11.16,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.5,23.0655,1.43,0.54,0.89,0.09,-20.78,5.02,27.79,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.5,23.212,1.42,0.54,0.88,0.09,-20.71,2.75,25.44,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.5,23.347,1.48,0.56,0.92,0.09,-20.89,3.02,31.69,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.5,23.441,1.07,0.49,0.58,0.09,-21.25,2.86,44.55,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.5,23.525,1.61,0.58,1.03,0.09,-21.47,5.87,52.45,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.5,23.6175,1.44,0.5,0.94,0.09,-21.08,7.34,38.61,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030.5,23.7005,1.32,0.54,0.78,0.08,-20.84,7.39,30.09,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040.5,23.798,1.39,0.55,0.84,0.09,-20.37,4.92,13.37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050.5,23.897,1.27,0.49,0.78,0.08,-20.17,5.34,6.17,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058.5,23.996,1.05,0.46,0.59,0.09,-20.58,4.97,20.58,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070.5,24.2165,1.38,0.53,0.85,0.09,-20.46,5.03,16.33,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079.5,24.348,1.35,0.54,0.81,0.1,-20.58,5.23,20.83,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089.5,24.398,1.45,0.48,0.97,0.09,-20.46,5.21,16.32,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097.5,24.4475,1.4,0.49,0.91,0.09,-20.74,5.1,26.54,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107.5,24.5035,1.53,0.56,0.97,0.09,-21.07,5.31,38.29,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117.5,24.554,1.57,0.51,1.06,0.1,-20.35,5.21,12.57,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127.5,24.6175,1.66,0.45,1.21,0.08,-20.54,5.24,19.42,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137.5,24.6835,1.52,0.59,0.93,0.1,-21.18,5.59,42.01,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147.5,24.752,1.51,0.5,1.01,0.09,-20.21,5.39,7.58,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157.5,24.8225,1.43,0.54,0.89,0.09,-20.6,5.23,21.56,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167.5,24.922,1.31,0.55,0.76,0.1,-19.91,1.63,-3.37,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177.5,25.021,1.4,0.56,0.84,0.1,-20.08,5.2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187.5,25.1205,0.85,0.49,0.36,0.09,-20.31,5.34,11.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198.5,25.23,1.23,0.54,0.69,0.09,-20.27,2.88,9.82,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208.5,25.329,1.33,0.52,0.81,0.09,-20.69,3.23,24.71,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218.5,25.4285,1.32,0.47,0.85,0.09,-20.21,4.63,7.34,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228.5,25.528,1.43,0.55,0.88,0.09,-21.37,2.79,48.91,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238.5,25.6275,1.4,0.55,0.85,0.09,-21.45,2.95,51.79,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248.5,25.7265,1.42,0.55,0.87,0.09,-21.35,3.54,48.31,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256.5,25.806,1.41,0.55,0.86,0.09,-21.25,5.2,44.77,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2266.5,25.9055,1.41,0.56,0.85,0.09,-21.73,2.67,61.96,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276.5,26.005,1.47,0.6,0.87,0.1,-21.19,3.35,42.38,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286.5,26.1045,1.3,0.6,0.7,0.1,-21.48,5.63,52.79,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
